percentage expenditure,Hepatitis B,Polio,Total expenditure,Diphtheria,GDP,Income composition of resources,Schooling
5.628274976134983,92.0,94.0,2.65,94.0,8.109081538295266,0.808,12.3
1.2772320656550649,89.0,9.0,4.41,89.0,5.290576886175689,0.0,8.8
3.425803502382132,64.0,62.0,4.55,64.0,6.086209418519259,0.38,8.3
1.6818173804706396,84.0,85.0,6.35,84.0,3.30146974926522,0.362,10.3
1.6373046713560362,98.0,97.0,5.25,98.0,3.802726085620789,0.636,10.3
0.9503769862245804,79.0,87.0,4.72,87.0,5.073099552938462,0.622,10.2
5.529168465060279,96.0,95.0,7.44,93.0,7.867940136585294,0.866,15.8
6.455960754088251,9.0,93.0,6.9,94.0,8.80736433725309,0.787,15.0
8.815915733867884,83.0,98.0,11.54,98.0,10.667937268887073,0.89,16.2
3.405665674290638,91.0,93.0,4.57,93.0,5.930765679722913,0.736,15.8
8.933938251518027,88.0,94.0,11.25,95.0,10.640329961762935,0.907,16.7
6.108347842341541,96.0,95.0,2.58,96.0,8.741545493496805,0.835,13.7
6.257215203388294,96.0,98.0,3.56,98.0,8.28734339089622,0.687,12.3
4.338735828347251,91.0,87.0,9.46,89.0,6.285747690720974,0.735,14.2
4.857975062443533,95.0,97.0,5.23,97.0,7.692787948599925,0.575,10.0
8.205981228830268,89.0,86.0,7.71,9.0,9.994916651589516,0.881,18.2
6.651403946441658,99.0,93.0,1.2,94.0,8.605043198290836,0.743,13.5
4.555750867032288,89.0,8.0,7.12,88.0,5.964513840002609,0.702,11.6
8.753715323798911,14.0,93.0,9.57,93.0,10.496554374507973,0.886,15.8
7.6232360777454735,83.0,95.0,7.24,96.0,9.63721540322353,0.825,15.7
4.755987558227454,97.0,98.0,4.81,97.0,7.051802132347808,0.769,14.7
6.401520453856035,98.0,98.0,4.62,98.0,8.933248891373347,0.0,12.3
3.5122984722451025,95.0,95.0,9.5,95.0,5.570086809492064,0.723,13.5
7.900643345118352,98.0,98.0,9.55,98.0,9.981361849675164,0.827,16.3
8.237652626235302,29.0,97.0,1.22,97.0,10.09725348031494,0.851,15.5
7.726764854433047,94.0,96.0,7.68,99.0,9.613560361691096,0.884,13.7
7.967049618916406,95.0,96.0,8.23,93.0,10.007738264589689,0.836,15.2
5.409332367529082,93.0,94.0,7.89,94.0,7.373733430603678,0.59,10.9
5.767133369594878,86.0,95.0,6.41,95.0,7.746384068178056,0.649,12.0
7.394856400777408,99.0,99.0,11.16,99.0,8.869726575925158,0.683,12.4
6.220203642325992,98.0,98.0,5.95,97.0,8.760481766774719,0.755,15.1
5.2067506420635326,84.0,85.0,5.27,84.0,9.6580702157529,0.766,14.8
8.068914861672816,99.0,99.0,2.3,99.0,10.771685335030122,0.852,14.4
6.262392859057116,89.0,99.0,7.67,89.0,8.449062433916492,0.732,14.7
6.378227221245279,8.0,85.0,4.41,82.0,8.507885515076413,0.695,12.9
7.316747519439234,99.0,92.0,3.1,92.0,9.99413472741172,0.828,13.7
0.3064926055793632,98.0,98.0,2.16,98.0,3.30949969560462,0.0,10.4
3.990547944149817,99.0,99.0,5.63,99.0,6.070582057687881,0.701,14.3
5.486807857115728,99.0,99.0,6.66,99.0,6.856103237199803,0.47,8.4
5.197722670199703,99.0,99.0,5.94,99.0,8.043265998893023,0.634,12.1
6.181679751305154,94.0,94.0,8.68,94.0,9.734018455895807,0.788,15.5
5.906680271195751,98.0,99.0,8.43,98.0,7.52196665444246,0.63,11.5
4.647952519228209,89.0,89.0,4.49,92.0,7.311193915182383,0.751,12.3
4.040083293190591,89.0,89.0,1.96,89.0,5.810908447976136,0.459,10.7
4.304507724282633,79.0,79.0,4.75,8.0,6.859811367459906,0.456,8.3
1.0171901536330776,73.0,79.0,9.98,7.0,4.756916549189766,0.0,11.6
1.8652096219946104,93.0,86.0,5.91,93.0,4.045591057380707,0.727,12.8
4.6703088226453175,49.0,9.0,3.91,89.0,7.086484687563333,0.642,11.6
4.4764903188018135,99.0,99.0,6.37,99.0,8.930592420974898,0.791,15.9
8.64663984074937,39.0,99.0,1.53,99.0,10.506315672657085,0.87,16.1
4.935670789992984,18.0,93.0,5.47,84.0,9.351394686704404,0.75,14.0
2.26355403867839,92.0,93.0,1.37,93.0,4.145880493004394,0.771,14.3
5.847529608783956,97.0,97.0,8.72,97.0,7.715886876939306,0.618,11.4
4.144458220504152,99.0,99.0,4.23,99.0,8.203294933953504,0.706,14.6
7.247096404261194,9.0,9.0,8.47,91.0,9.4366133279917,0.801,14.2
1.1087258646119145,94.0,96.0,6.96,94.0,3.255965499740733,0.336,8.6
8.483149173592736,95.0,95.0,9.25,95.0,10.474401141296978,0.877,16.3
2.9346142127665686,98.0,98.0,3.44,98.0,5.543180107379168,0.731,13.3
5.733555086401324,94.0,94.0,3.93,94.0,8.17474466187838,0.826,13.3
3.6490615553208015,93.0,88.0,5.88,86.0,7.836224968158826,0.492,9.4
5.808968487789348,96.0,97.0,6.17,97.0,8.181399088810169,0.728,14.2
5.550764054802844,77.0,88.0,5.16,88.0,8.0457924779026,0.653,11.1
5.645955625463111,91.0,91.0,5.58,94.0,8.356217942771028,0.702,13.1
6.463584828102559,94.0,99.0,9.25,98.0,8.39949719672168,0.871,15.8
2.435800435680048,62.0,24.0,8.2,24.0,4.749789875598035,0.338,5.5
6.05862205648117,94.0,96.0,6.39,96.0,8.553858689902682,0.661,12.2
5.3330650424929305,99.0,94.0,3.48,93.0,7.723366946751009,0.687,13.3
6.159739374323211,97.0,98.0,2.71,98.0,9.008513209853056,0.748,15.7
4.378547605739773,76.0,91.0,5.13,91.0,6.786173536616753,0.729,12.0
4.462656148220093,61.0,72.0,4.4,71.0,6.8645021566640585,0.461,8.6
6.572763688323485,97.0,97.0,4.53,97.0,8.635898315596078,0.92,15.4
7.101401079639117,67.0,98.0,11.97,98.0,8.745801021529479,0.904,15.8
6.726179690844367,85.0,9.0,5.45,9.0,8.90725421832148,0.681,11.9
6.158150607019885,99.0,94.0,7.33,94.0,10.29750208902584,0.877,15.8
5.823348665028309,96.0,96.0,1.42,96.0,7.768521296625652,0.809,16.0
4.116455817356351,99.0,98.0,6.31,72.0,8.068925809954328,0.694,12.9
8.626979732695903,94.0,99.0,9.17,98.0,10.567549872001678,0.865,15.7
2.2932346301520803,8.0,75.0,8.9,8.0,6.422063008064634,0.731,12.9
5.440982693498416,99.0,99.0,5.8,99.0,7.404789014798097,0.497,9.4
4.926410346313615,89.0,9.0,4.82,88.0,7.411063356672896,0.76,12.4
4.580330035189494,66.0,72.0,6.47,66.0,6.657173322549646,0.411,7.7
5.86653742959778,89.0,9.0,7.7,89.0,7.722043070008147,0.57,9.8
5.280794441425114,81.0,89.0,5.64,9.0,6.708624376208303,0.459,8.1
4.167859110370336,93.0,92.0,11.21,92.0,5.648769745423006,0.895,19.3
5.321611383022074,97.0,98.0,7.81,98.0,7.179873140557466,0.577,10.6
3.672189310820117,75.0,76.0,2.16,75.0,7.064621813250112,0.54,9.1
6.362582689185804,97.0,97.0,9.56,97.0,8.226099439130914,0.86,16.4
8.491838213510386,97.0,97.0,9.48,97.0,10.368328445262575,0.867,16.9
7.116189765254988,96.0,88.0,5.6,92.0,9.168086789994248,0.794,14.7
6.496042343887211,96.0,94.0,6.78,94.0,8.84750186266206,0.768,13.8
5.013024008844174,98.0,98.0,4.86,99.0,7.180425424187216,0.788,14.2
8.413443813401079,96.0,97.0,8.71,95.0,10.372248602287122,0.851,15.8
5.3003744103819175,89.0,83.0,5.16,85.0,7.350178613261861,0.645,12.0
6.954992088749633,2.0,97.0,1.53,97.0,8.585908029588841,0.911,17.2
4.062220537567423,61.0,83.0,7.82,87.0,6.599835317641592,0.673,11.7
0.3665873362504609,99.0,99.0,5.84,99.0,3.275196194313688,0.69,12.1
3.21749935797215,64.0,68.0,3.31,64.0,6.17443639241852,0.527,11.4
6.772621012956407,94.0,92.0,8.53,92.0,8.515788783697221,0.918,19.0
5.528999028382585,86.0,97.0,4.64,97.0,8.116921045509882,0.559,11.7
2.569211030542152,63.0,61.0,6.42,72.0,4.364083472151031,0.446,7.9
2.5786641581549805,88.0,87.0,5.68,88.0,5.29675175662015,0.553,10.9
8.730377233782361,95.0,92.0,8.49,92.0,10.494582179261252,0.915,20.3
4.715619471764511,96.0,97.0,4.2,97.0,7.540769377525164,0.779,12.9
2.739100365790642,94.0,94.0,8.23,94.0,4.390707100183294,0.76,15.3
9.030159744516626,98.0,98.0,11.21,98.0,10.84590674314345,0.892,15.9
5.3434396709076415,67.0,64.0,4.26,73.0,7.688783550512508,0.511,10.0
4.975836010614416,94.0,93.0,4.73,94.0,7.038882071621997,0.518,11.6
3.147307905646945,96.0,93.0,7.61,92.0,5.4688887428975335,0.85,15.1
4.278969187555463,77.0,76.0,4.7,77.0,6.032340914390012,0.5,9.7
5.2291639373509575,75.0,78.0,4.65,78.0,8.225809566263239,0.643,10.3
7.81677845201004,96.0,94.0,3.4,95.0,10.66889681621583,0.787,13.0
3.796030168659098,62.0,67.0,5.54,64.0,6.514338354150614,0.658,10.1
6.848691243598249,92.0,92.0,7.1,92.0,8.546639776293688,0.691,12.4
5.776454266210389,98.0,99.0,6.39,98.0,7.428902208741904,0.62,11.5
7.033005933106929,85.0,85.0,5.69,85.0,9.165914373118916,0.722,12.7
5.333981828151132,68.0,85.0,4.37,81.0,8.62616206511284,0.719,11.6
4.444711134425479,36.0,83.0,3.38,87.0,7.280902243231518,0.668,12.4
5.5172489736658346,99.0,99.0,5.48,99.0,7.528165015170574,0.505,9.4
7.354695497563893,88.0,98.0,6.37,98.0,10.13956654551665,0.826,13.5
6.887134656493093,7.0,73.0,8.78,73.0,8.83607647695397,0.652,12.8
6.588966609327953,87.0,91.0,6.42,91.0,8.906440199431536,0.803,15.1
6.348182672014403,93.0,92.0,5.36,93.0,8.335175717184494,0.706,13.3
4.039507622674332,68.0,68.0,3.21,68.0,6.851327616784041,0.466,7.2
1.70188118275972,99.0,98.0,6.14,88.0,5.831050037059632,0.705,13.2
5.681544593013722,93.0,94.0,4.5,93.0,8.123728342315154,0.831,13.2
7.064181164279642,84.0,84.0,6.9,84.0,9.134906816563518,0.708,12.7
1.0872067588596777,88.0,85.0,4.18,88.0,5.286233550432843,0.343,7.2
4.110531914075696,7.0,71.0,3.46,7.0,6.097986862614926,0.506,10.2
7.624674210220459,98.0,98.0,4.25,98.0,10.124043203723565,0.83,15.2
5.6650847912856594,92.0,95.0,8.3,95.0,9.996802515946625,0.83,15.3
6.127568117968941,92.0,94.0,3.41,94.0,8.874395985177737,0.727,15.5
3.9946822404219526,9.0,89.0,5.37,89.0,6.571772790414766,0.436,10.0
6.082460813307353,87.0,97.0,1.4,93.0,7.834457403720865,0.867,16.3
6.494174012232565,56.0,58.0,7.22,63.0,8.338060154445875,0.701,12.9
3.5352287684770807,96.0,96.0,6.34,96.0,5.36439508891365,0.359,7.6
6.820219314056677,98.0,98.0,4.76,98.0,9.136933589823592,0.756,14.3
4.073011941963381,38.0,76.0,4.28,79.0,7.205465548067349,0.569,10.4
7.366768682583988,96.0,95.0,6.22,95.0,9.417266354545337,0.812,16.4
5.582684775065994,94.0,97.0,5.4,97.0,7.702969252846922,0.646,12.8
7.15202577637361,95.0,94.0,6.18,94.0,9.157538701297716,0.796,14.9
3.0294137585667804,57.0,59.0,3.21,6.0,6.083238307965722,0.371,7.9
5.9277116594129575,94.0,99.0,9.89,99.0,7.780799746834562,0.828,14.2
6.643067452052972,95.0,94.0,7.24,94.0,8.831166104318887,0.77,13.9
4.276860440273346,79.0,8.0,4.46,79.0,6.677653110049567,0.448,9.3
4.857000318492935,98.0,98.0,3.76,98.0,7.405991814867911,0.725,13.2
7.019472038155404,98.0,97.0,6.4,97.0,9.193750791589933,0.745,12.6
2.12939431582773,97.0,98.0,8.49,97.0,3.825448020478385,0.424,10.1
5.896797285112704,94.0,94.0,6.45,94.0,7.753015310119314,0.62,11.2
7.176934744045555,96.0,96.0,3.49,96.0,9.709488063344455,0.773,12.7
7.048749559976915,99.0,99.0,3.8,99.0,9.462592993349617,0.794,13.3
3.6777637196116606,52.0,63.0,4.28,54.0,5.788070172825727,0.378,7.6
5.273887706607587,95.0,88.0,1.5,92.0,7.994793290042371,0.738,13.3
1.8969307268777145,71.0,71.0,6.98,71.0,5.8356567586175885,0.307,4.2
4.519192210927436,78.0,82.0,7.47,78.0,6.497517238030346,0.478,10.0
3.707509074098116,74.0,74.0,5.43,74.0,6.141720404810284,0.382,9.2
6.574073516823081,7.0,68.0,3.44,7.0,9.179176160777017,0.687,12.6
2.290540970868982,8.0,8.0,3.63,8.0,4.987560302451366,0.501,8.2
7.05262889360204,98.0,99.0,2.76,98.0,9.965041455378348,0.796,13.7
0.7574200922076887,77.0,85.0,5.37,85.0,4.185548291785901,0.675,12.0
4.246582456412184,98.0,98.0,8.39,98.0,5.96184041610756,0.737,13.1
2.8248141914860643,97.0,99.0,6.94,99.0,5.8877348731268855,0.699,14.8
7.328222458500384,99.0,98.0,3.58,98.0,9.660673547002991,0.762,13.5
6.284653877487363,97.0,98.0,8.78,97.0,8.12761028577163,0.739,13.6
6.2481501010611975,98.0,98.0,6.32,99.0,8.556016310347102,0.79,15.0
6.415017026680843,98.0,99.0,3.92,99.0,8.384732644660136,0.7,12.9
6.5380588107901145,89.0,9.0,6.52,89.0,7.861630767331112,0.694,14.6
6.447391551896717,77.0,74.0,8.42,77.0,8.58306356730389,0.0,13.7
5.200449741717238,98.0,99.0,6.61,99.0,7.221362691464486,0.7,14.6
5.019341870949898,94.0,94.0,5.67,94.0,7.3351314045481315,0.814,15.4
3.354738105261963,95.0,97.0,3.7,96.0,5.6955694062217646,0.657,11.5
2.861762108683004,99.0,99.0,3.59,99.0,5.224048835351556,0.74,13.2
6.00484449356579,83.0,83.0,1.86,83.0,8.582219085643247,0.0,14.9
8.197880950158309,95.0,99.0,9.41,99.0,10.269113736918229,0.855,16.4
5.094534013177475,93.0,9.0,1.62,93.0,7.0697373963220445,0.491,10.8
6.101310247743797,92.0,92.0,6.79,92.0,7.8773036946869075,0.596,10.4
6.634026168960597,91.0,91.0,4.93,91.0,8.660871953549844,0.721,13.4
0.946396635690472,94.0,94.0,5.57,94.0,2.586058069617312,0.797,14.7
7.580457823472367,93.0,97.0,6.5,97.0,10.35416922966161,0.836,13.5
4.806988332240351,77.0,88.0,3.95,88.0,7.239051518210616,0.646,11.5
6.738383067419584,96.0,96.0,8.26,95.0,9.416741902516137,0.73,14.2
5.942184764770135,96.0,97.0,5.63,97.0,8.043610457610326,0.673,13.6
3.899023674651232,92.0,95.0,6.36,94.0,6.605612713615006,0.52,10.5
5.580671318115082,95.0,96.0,3.95,96.0,8.403951902322074,0.724,12.1
5.245640833822023,97.0,97.0,3.7,97.0,7.793098436717319,0.581,12.3
3.4237835088765487,81.0,81.0,7.9,81.0,5.519108152278649,0.621,11.8
6.539778644421932,97.0,98.0,2.7,98.0,8.98260703167691,0.683,10.8
6.47554726376428,98.0,99.0,6.19,99.0,8.807199383707985,0.8,15.5
6.369563114969639,98.0,98.0,5.45,98.0,8.449907108251349,0.702,12.5
6.270248044417599,95.0,92.0,8.9,95.0,8.432265338962937,0.733,12.8
2.469277938572076,96.0,97.0,1.4,97.0,4.417171384092248,0.514,10.0
5.556698828638881,97.0,98.0,4.27,99.0,9.564743353361456,0.781,14.5
0.7363651248987051,88.0,87.0,4.94,88.0,2.512585044394053,0.435,7.1
6.663362531007108,93.0,95.0,4.24,95.0,9.119096882436466,0.737,11.8
4.160115161227421,89.0,88.0,4.29,89.0,7.219893977645109,0.501,10.4
5.690753468244433,96.0,95.0,4.6,95.0,8.450619006119608,0.74,16.0
4.758578678748368,96.0,96.0,6.4,96.0,6.888054955652728,0.697,12.3
2.013767522508313,98.0,98.0,6.64,98.0,3.986430511288596,0.632,11.9
5.024568147534742,99.0,99.0,3.37,99.0,7.351658050150123,0.766,13.2
1.3400212010612718,9.0,87.0,5.71,85.0,3.1778242206563245,0.493,9.1
5.14742711291665,91.0,94.0,7.1,94.0,7.275974559898705,0.814,16.2
5.866072303562439,94.0,99.0,4.7,98.0,8.235434595684797,0.737,13.9
6.069177705101822,99.0,97.0,5.43,97.0,8.175807770447424,0.733,12.9
6.225411280345961,83.0,84.0,1.48,84.0,8.075251477645555,0.837,14.7
3.8624536202548674,76.0,69.0,5.91,83.0,5.82106705869881,0.332,7.0
6.82270665961383,98.0,98.0,4.82,98.0,9.17349639215327,0.765,14.7
5.831952839910649,66.0,71.0,5.59,72.0,7.959679385368199,0.656,12.3
6.500626574163996,83.0,85.0,4.6,88.0,8.60386060258974,0.697,12.9
5.568330696795552,95.0,96.0,3.71,95.0,8.168480221812706,0.729,12.7
9.850210639445612,94.0,96.0,7.34,99.0,11.646536733279603,0.887,13.5
4.860506960775932,9.0,9.0,6.47,9.0,7.28610924554847,0.773,12.5
6.649219973864813,14.0,95.0,9.75,95.0,8.386560332267662,0.891,15.8
3.846973584950396,85.0,91.0,5.9,9.0,5.441181960283899,0.683,13.7
1.3581258012933668,89.0,91.0,3.8,89.0,3.744076904855239,0.721,12.3
8.356268682624536,96.0,97.0,9.39,97.0,10.259877719329696,0.871,17.2
3.743641995224914,95.0,95.0,7.54,95.0,5.7485932375323365,0.404,10.6
7.277613393699405,95.0,98.0,7.53,98.0,9.37910302927441,0.825,16.6
1.929165092154487,7.0,75.0,6.36,7.0,5.855505956935551,0.312,4.5
5.086915402833246,91.0,92.0,8.72,92.0,7.252984341018532,0.811,14.6
2.4299042254256773,27.0,46.0,3.66,4.0,4.793666688502334,0.466,9.0
3.783927696206483,96.0,97.0,9.3,97.0,5.695320943324161,0.877,17.6
7.795998221399731,84.0,82.0,9.73,85.0,9.125609634894628,0.752,13.4
5.650135626165055,96.0,99.0,7.23,99.0,8.247865367146872,0.853,14.6
8.391668668372311,93.0,92.0,1.93,93.0,11.361518055600111,0.827,12.4
4.95570364576098,92.0,99.0,7.13,99.0,7.944722467552088,0.692,14.6
6.248823424925403,93.0,93.0,4.6,93.0,8.19207635352339,0.696,13.2
2.470012551329202,91.0,92.0,6.44,91.0,4.855731375100033,0.498,10.3
0.5289890147186939,78.0,7.0,2.94,71.0,2.8701684836850605,0.514,7.3
8.068994062968406,95.0,99.0,9.77,99.0,10.162665728733588,0.86,16.7
4.368756891023324,97.0,98.0,5.89,97.0,8.661247780230688,0.0,14.6
6.125686533967404,84.0,91.0,6.63,9.0,8.266775619981829,0.73,14.9
2.427091133633017,96.0,89.0,5.53,89.0,4.535582405434971,0.798,15.7
6.182480870461401,96.0,96.0,9.22,96.0,8.171394432480845,0.876,16.5
1.863635630171444,65.0,7.0,3.26,62.0,4.943874786173441,0.513,7.3
3.3979037064642275,9.0,93.0,6.42,9.0,4.9967467938235135,0.482,9.0
4.316518387904356,89.0,93.0,6.63,89.0,6.165651482400419,0.334,4.9
1.918882234397048,78.0,78.0,5.9,78.0,4.204478880132448,0.405,9.1
6.069686938703342,96.0,97.0,3.97,97.0,8.899423030609352,0.756,12.6
8.971872064121234,86.0,99.0,7.4,99.0,10.782708169861152,0.854,13.4
4.232853809867962,6.0,89.0,6.96,9.0,6.662512572208451,0.439,10.7
4.031778708673556,64.0,79.0,2.37,71.0,7.047143203595285,0.624,11.0
7.01288492509164,98.0,98.0,6.7,98.0,8.984671815893831,0.796,15.7
4.283709608772806,94.0,96.0,6.39,94.0,6.862470479486918,0.613,11.1
2.48941519932043,82.0,81.0,2.54,82.0,5.274406773100972,0.651,12.4
5.503440630190707,78.0,87.0,4.58,87.0,7.677538910967633,0.692,11.2
6.093218973534521,87.0,83.0,1.33,87.0,8.257525100105127,0.679,12.3
6.119820568352696,46.0,72.0,7.47,76.0,8.257494902874782,0.739,15.1
6.911581223712726,9.0,91.0,7.74,91.0,8.454915866513119,0.723,12.4
7.502117674080872,99.0,99.0,5.65,99.0,9.386840844921688,0.782,14.1
2.458004240832628,39.0,84.0,4.48,85.0,5.249063317275546,0.543,9.8
4.5122000132405,78.0,74.0,4.59,78.0,6.8508532058135225,0.475,10.7
9.027706565037224,83.0,83.0,1.6,83.0,10.847147830814054,0.864,15.1
4.7183230183338685,6.0,54.0,7.69,61.0,6.239624118223008,0.428,6.9
3.139596676275886,98.0,98.0,5.99,99.0,5.8316365819510985,0.612,11.2
4.085959072066833,93.0,93.0,4.73,93.0,6.063501703387499,0.7,13.2
4.89858199460556,66.0,86.0,5.76,87.0,9.365324471555557,0.749,14.0
2.418446388178388,97.0,97.0,4.98,97.0,6.513113086261035,0.694,11.4
4.121484331900709,99.0,99.0,4.26,99.0,8.122811179271215,0.704,14.5
3.873059936825657,75.0,97.0,7.84,97.0,6.739211731984107,0.521,10.2
6.068140775698127,99.0,99.0,5.66,99.0,8.392926891245157,0.759,14.2
7.305790562171593,92.0,91.0,6.93,91.0,8.97284233992383,0.707,13.2
6.565202524141995,98.0,98.0,9.66,98.0,8.188622377772248,0.539,11.4
5.234360268351384,96.0,99.0,7.7,99.0,8.19546518997032,0.695,14.0
0.7781671780272189,86.0,83.0,4.81,86.0,2.6076008650939198,0.444,7.5
6.661336287629622,93.0,93.0,6.25,93.0,8.450031416020547,0.675,11.9
6.672130782320455,99.0,99.0,4.12,99.0,8.689943607288768,0.737,13.6
6.6113835215411765,97.0,93.0,9.89,91.0,8.641246730752487,0.767,14.0
4.529492958027057,96.0,97.0,6.26,97.0,7.070544805715177,0.656,10.7
4.140738509024288,95.0,95.0,5.45,95.0,6.263676174446737,0.588,9.4
5.125544816126957,92.0,94.0,5.98,92.0,7.585196174069877,0.773,12.7
5.96186191286583,98.0,98.0,4.4,98.0,8.340068897423857,0.692,12.3
6.864662976449347,86.0,86.0,6.75,86.0,8.850077341403903,0.75,12.8
4.689500616533524,93.0,92.0,6.77,93.0,6.346971045880456,0.345,5.4
2.451237634004787,94.0,94.0,3.3,94.0,5.699870124719485,0.405,5.3
5.742427182847907,88.0,85.0,5.3,84.0,7.519390954129743,0.679,13.5
5.620634294992156,97.0,97.0,6.98,97.0,7.326369464481278,0.607,11.1
4.670467292139782,98.0,98.0,5.92,98.0,6.839842203234448,0.731,12.3
5.7888276114452255,94.0,93.0,4.29,93.0,8.177458607040686,0.643,13.6
2.9720249782540664,54.0,93.0,1.19,88.0,5.626139844491035,0.734,12.8
4.676842577951485,98.0,98.0,3.89,98.0,7.180324655247792,0.796,13.5
4.073038646423756,82.0,82.0,3.75,82.0,6.449958109259772,0.495,10.3
5.309185820846361,93.0,94.0,4.55,93.0,8.004643592792524,0.725,11.9
5.365615821655336,61.0,63.0,4.37,6.0,8.116370744459195,0.48,8.5
7.678502277635281,97.0,96.0,8.18,96.0,9.558045296511423,0.803,14.2
3.993861093303219,97.0,97.0,2.91,97.0,6.525213464996813,0.523,8.4
5.540591107750511,99.0,99.0,4.22,99.0,8.382477664838893,0.712,14.7
4.83134064040545,67.0,62.0,6.79,68.0,6.379034249166723,0.433,7.2
6.660618224840242,76.0,77.0,7.75,79.0,8.663472928483632,0.616,12.9
4.649414567056868,82.0,9.0,5.81,9.0,6.728472094855501,0.687,11.9
6.858357862597394,89.0,97.0,5.77,97.0,9.593824498696751,0.798,12.5
6.7427760396379535,98.0,98.0,4.92,98.0,8.782739699479071,0.787,15.5
4.656950856988363,91.0,89.0,9.8,91.0,6.828860254385023,0.453,10.8
8.007243263117028,99.0,99.0,3.87,99.0,10.533916210755477,0.788,13.6
4.602001967580178,98.0,99.0,5.9,99.0,6.9075779303568,0.637,11.8
1.853447456764827,65.0,79.0,2.79,72.0,4.851474124927992,0.629,11.1
4.763907166925512,8.0,79.0,11.2,8.0,6.390236062524547,0.473,10.9
